star_id,method,n_candidates,found_true_period,rank_of_true_period,matched_P0,true_period,PERIOD,ACTIVITY,CYCLE,OVERLAP,INCL,MINLAT,MAXLAT,DIFFROT,TSPOT,BFLY
smarts-tess-v1.0-095000,pairwise_histogram,7,False,,,17.16720008850098,17.16720008850098,7.012599945068359,17.91110038757324,0.367900013923645,1.422500014305115,34.42079925537109,41.07939910888672,0.6714000105857849,6.468200206756592,True
smarts-tess-v1.0-095000,wavelet,10,False,,,17.16720008850098,17.16720008850098,7.012599945068359,17.91110038757324,0.367900013923645,1.422500014305115,34.42079925537109,41.07939910888672,0.6714000105857849,6.468200206756592,True
smarts-tess-v1.0-095200,acf_fft,10,True,1.0,16.970238095237132,17.20599937438965,17.20599937438965,8.753100395202637,10.19120025634766,0.743399977684021,1.121500015258789,10.02600002288818,58.05199813842773,0.0,3.369400024414062,False
smarts-tess-v1.0-095200,lombscargle,10,True,1.0,16.96825396825397,17.20599937438965,17.20599937438965,8.753100395202637,10.19120025634766,0.743399977684021,1.121500015258789,10.02600002288818,58.05199813842773,0.0,3.369400024414062,False
smarts-tess-v1.0-095200,pairwise_histogram,5,True,1.0,16.796041666666433,17.20599937438965,17.20599937438965,8.753100395202637,10.19120025634766,0.743399977684021,1.121500015258789,10.02600002288818,58.05199813842773,0.0,3.369400024414062,False
smarts-tess-v1.0-095200,wavelet,10,True,1.0,16.97622785898548,17.20599937438965,17.20599937438965,8.753100395202637,10.19120025634766,0.743399977684021,1.121500015258789,10.02600002288818,58.05199813842773,0.0,3.369400024414062,False
smarts-tess-v1.0-095400,acf_fft,10,False,,,17.24460029602051,17.24460029602051,4.43179988861084,1.168300032615662,0.1058000028133392,1.264000058174133,31.44510078430176,44.58560180664062,0.6326000094413757,7.955900192260742,True
smarts-tess-v1.0-095400,lombscargle,10,True,8.0,17.26535087719298,17.24460029602051,17.24460029602051,4.43179988861084,1.168300032615662,0.1058000028133392,1.264000058174133,31.44510078430176,44.58560180664062,0.6326000094413757,7.955900192260742,True
smarts-tess-v1.0-095400,pairwise_histogram,4,False,,,17.24460029602051,17.24460029602051,4.43179988861084,1.168300032615662,0.1058000028133392,1.264000058174133,31.44510078430176,44.58560180664062,0.6326000094413757,7.955900192260742,True
smarts-tess-v1.0-095400,wavelet,10,False,,,17.24460029602051,17.24460029602051,4.43179988861084,1.168300032615662,0.1058000028133392,1.264000058174133,31.44510078430176,44.58560180664062,0.6326000094413757,7.955900192260742,True
smarts-tess-v1.0-095600,acf_fft,10,False,,,17.27949905395508,17.27949905395508,0.2495999932289124,27.05349922180176,9.255800247192383,1.02649998664856,39.54230117797852,54.18000030517578,0.1108999997377396,8.086199760437012,True
smarts-tess-v1.0-095600,lombscargle,10,False,,,17.27949905395508,17.27949905395508,0.2495999932289124,27.05349922180176,9.255800247192383,1.02649998664856,39.54230117797852,54.18000030517578,0.1108999997377396,8.086199760437012,True
smarts-tess-v1.0-095600,pairwise_histogram,0,False,,,17.27949905395508,17.27949905395508,0.2495999932289124,27.05349922180176,9.255800247192383,1.02649998664856,39.54230117797852,54.18000030517578,0.1108999997377396,8.086199760437012,True
smarts-tess-v1.0-095600,wavelet,3,False,,,17.27949905395508,17.27949905395508,0.2495999932289124,27.05349922180176,9.255800247192383,1.02649998664856,39.54230117797852,54.18000030517578,0.1108999997377396,8.086199760437012,True
smarts-tess-v1.0-095700,acf_fft,10,False,,,17.29630088806152,17.29630088806152,2.703700065612793,7.789999961853027,4.757900238037109,0.2466000020503998,35.89640045166016,59.39699935913086,0.0,4.810500144958496,True
smarts-tess-v1.0-095700,lombscargle,10,False,,,17.29630088806152,17.29630088806152,2.703700065612793,7.789999961853027,4.757900238037109,0.2466000020503998,35.89640045166016,59.39699935913086,0.0,4.810500144958496,True
smarts-tess-v1.0-095700,pairwise_histogram,10,False,,,17.29630088806152,17.29630088806152,2.703700065612793,7.789999961853027,4.757900238037109,0.2466000020503998,35.89640045166016,59.39699935913086,0.0,4.810500144958496,True
smarts-tess-v1.0-095700,wavelet,10,True,1.0,17.652411077505946,17.29630088806152,17.29630088806152,2.703700065612793,7.789999961853027,4.757900238037109,0.2466000020503998,35.89640045166016,59.39699935913086,0.0,4.810500144958496,True
smarts-tess-v1.0-095800,acf_fft,10,False,,,17.31229972839355,17.31229972839355,1.68939995765686,31.04240036010742,17.78899955749512,1.422500014305115,32.24779891967773,47.5625,0.5078999996185303,5.505499839782715,True
smarts-tess-v1.0-095800,lombscargle,10,False,,,17.31229972839355,17.31229972839355,1.68939995765686,31.04240036010742,17.78899955749512,1.422500014305115,32.24779891967773,47.5625,0.5078999996185303,5.505499839782715,True
smarts-tess-v1.0-095800,pairwise_histogram,10,False,,,17.31229972839355,17.31229972839355,1.68939995765686,31.04240036010742,17.78899955749512,1.422500014305115,32.24779891967773,47.5625,0.5078999996185303,5.505499839782715,True
smarts-tess-v1.0-095800,wavelet,10,False,,,17.31229972839355,17.31229972839355,1.68939995765686,31.04240036010742,17.78899955749512,1.422500014305115,32.24779891967773,47.5625,0.5078999996185303,5.505499839782715,True
smarts-tess-v1.0-095900,acf_fft,10,False,,,17.33009910583496,17.33009910583496,0.1537999957799911,15.18280029296875,0.8255000114440918,0.7228000164031982,36.04830169677734,75.99079895019531,0.7524999976158142,9.400799751281738,True
smarts-tess-v1.0-095900,lombscargle,10,False,,,17.33009910583496,17.33009910583496,0.1537999957799911,15.18280029296875,0.8255000114440918,0.7228000164031982,36.04830169677734,75.99079895019531,0.7524999976158142,9.400799751281738,True
smarts-tess-v1.0-095900,pairwise_histogram,10,False,,,17.33009910583496,17.33009910583496,0.1537999957799911,15.18280029296875,0.8255000114440918,0.7228000164031982,36.04830169677734,75.99079895019531,0.7524999976158142,9.400799751281738,True
smarts-tess-v1.0-095900,wavelet,10,False,,,17.33009910583496,17.33009910583496,0.1537999957799911,15.18280029296875,0.8255000114440918,0.7228000164031982,36.04830169677734,75.99079895019531,0.7524999976158142,9.400799751281738,True
smarts-tess-v1.0-096100,acf_fft,10,False,,,17.37039947509766,17.37039947509766,7.873700141906738,1.014500021934509,0.7340999841690063,0.3716000020503998,30.61980056762695,47.20230102539062,0.1308999955654144,9.319100379943848,True
smarts-tess-v1.0-096100,lombscargle,10,False,,,17.37039947509766,17.37039947509766,7.873700141906738,1.014500021934509,0.7340999841690063,0.3716000020503998,30.61980056762695,47.20230102539062,0.1308999955654144,9.319100379943848,True
smarts-tess-v1.0-096100,pairwise_histogram,3,False,,,17.37039947509766,17.37039947509766,7.873700141906738,1.014500021934509,0.7340999841690063,0.3716000020503998,30.61980056762695,47.20230102539062,0.1308999955654144,9.319100379943848,True
smarts-tess-v1.0-096100,wavelet,10,False,,,17.37039947509766,17.37039947509766,7.873700141906738,1.014500021934509,0.7340999841690063,0.3716000020503998,30.61980056762695,47.20230102539062,0.1308999955654144,9.319100379943848,True
smarts-tess-v1.0-096300,acf_fft,10,False,,,17.41270065307617,17.41270065307617,0.2861999869346619,9.93340015411377,2.415899991989136,0.2342000007629395,24.75099945068359,60.85010147094727,0.2624000012874603,5.157199859619141,False
smarts-tess-v1.0-096300,lombscargle,10,False,,,17.41270065307617,17.41270065307617,0.2861999869346619,9.93340015411377,2.415899991989136,0.2342000007629395,24.75099945068359,60.85010147094727,0.2624000012874603,5.157199859619141,False
smarts-tess-v1.0-096300,pairwise_histogram,10,False,,,17.41270065307617,17.41270065307617,0.2861999869346619,9.93340015411377,2.415899991989136,0.2342000007629395,24.75099945068359,60.85010147094727,0.2624000012874603,5.157199859619141,False
smarts-tess-v1.0-096300,wavelet,7,False,,,17.41270065307617,17.41270065307617,0.2861999869346619,9.93340015411377,2.415899991989136,0.2342000007629395,24.75099945068359,60.85010147094727,0.2624000012874603,5.157199859619141,False
